cat,stream,next_stream,prev_str01,prev_str02,strahler,horton,shreve,hack,topo_dim,scheidegger,drwal_old,length,stright,sinosoid,cum_length,flow_accum,out_dist,source_elev,outlet_elev,elev_drop,out_drop,gradient
56,56,71,48,45,2,4,4,1,51,8,3,5428.057357,4158.271043,1.305364,14422.65607,55105.423267,137118.585054,508.83905,478.901489,29.938202,0.000641,0.005515
56,56,71,48,45,2,4,4,1,51,8,3,5428.057357,4158.271043,1.305364,14422.65607,55105.423267,137118.585054,508.83905,478.901489,29.938202,0.000641,0.005515
58,58,63,40,25,2,3,2,2,54,4,2,3582.77982,3199.063077,1.119947,9152.965153,43434.395992,137434.540957,505.678955,491.369934,14.441681,0.13266,0.004031
58,58,63,40,25,2,3,2,2,54,4,2,3582.77982,3199.063077,1.119947,9152.965153,43434.395992,137434.540957,505.678955,491.369934,14.441681,0.13266,0.004031
59,59,129,0,0,1,1,1,4,42,2,1,1140.586869,942.099166,1.210687,1140.586869,6811.397552,106396.617262,506.412598,426.058228,80.621735,0.267365,0.070684
59,59,129,0,0,1,1,1,4,42,2,1,1140.586869,942.099166,1.210687,1140.586869,6811.397552,106396.617262,506.412598,426.058228,80.621735,0.267365,0.070684
61,61,89,0,0,1,1,1,4,45,2,1,646.274476,580.676949,1.112967,646.274476,2387.749377,118279.461069,500.385284,460.524353,43.253326,3.392395,0.066927
61,61,89,0,0,1,1,1,4,45,2,1,646.274476,580.676949,1.112967,646.274476,2387.749377,118279.461069,500.385284,460.524353,43.253326,3.392395,0.066927
63,63,69,46,58,3,3,4,2,53,8,3,2553.397956,2038.530105,1.252568,11706.363109,88524.629091,133851.761137,491.237274,483.721252,7.516479,0.000458,0.002944
63,63,69,46,58,3,3,4,2,53,8,3,2553.397956,2038.530105,1.252568,11706.363109,88524.629091,133851.761137,491.237274,483.721252,7.516479,0.000458,0.002944
64,64,157,0,0,1,1,1,2,45,2,1,4482.387278,3092.766795,1.449313,4482.387278,10467.112993,122337.662046,490.422638,417.4487,73.656158,0.68222,0.016432
64,64,157,0,0,1,1,1,2,45,2,1,4482.387278,3092.766795,1.449313,4482.387278,10467.112993,122337.662046,490.422638,417.4487,73.656158,0.68222,0.016432
67,67,346,0,0,1,1,1,3,23,2,1,3494.539471,2798.92741,1.248528,3494.539471,10952.283526,55021.170919,485.990845,177.581207,308.410095,0.000458,0.088255
67,67,346,0,0,1,1,1,3,23,2,1,3494.539471,2798.92741,1.248528,3494.539471,10952.283526,55021.170919,485.990845,177.581207,308.410095,0.000458,0.088255
68,68,85,0,0,1,1,1,3,51,2,1,1274.434696,1037.80713,1.228007,1274.434696,4686.425426,129095.595684,485.224854,461.303375,24.684967,0.763489,0.019369
68,68,85,0,0,1,1,1,3,51,2,1,1274.434696,1037.80713,1.228007,1274.434696,4686.425426,129095.595684,485.224854,461.303375,24.684967,0.763489,0.019369
69,69,70,5,63,3,3,5,2,52,10,3,397.791894,343.127288,1.159313,12104.155003,90397.608228,131298.363181,483.720795,482.021118,6.410095,4.710419,0.016114
